,h3 filter,h2 filter,p filter,div filter,h1 filter,span filter,li filter,h3 coil,h2 coil,p coil,div coil,h1 coil,span coil,li coil,h3 fan,h2 fan,p fan,div fan,h1 fan,span fan,li fan,h3 repair,h2 repair,p repair,div repair,h1 repair,span repair,li repair,h3 maintenance,h2 maintenance,p maintenance,div maintenance,h1 maintenance,span maintenance,li maintenance
0,,,,,,,"Turn off the heat at the thermostat and check your air filter. If it’s dirty, change it!",,,,,,,,,,,,,,,,,"If you’ve checked these things and are still having issues, you likely need a professional heating repair company to diagnose the problem.",,,Repair,,,,,,,Maintenance,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,Repair,,,,,,,Maintenance,
2,,,,,,,,,,,,,,,,,,,,,,,,,,,Repair,,,,,,,Maintenance,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,Repair,,,,,,,Maintenance,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Maintenance,
