model,manufacturer
PTEC0902GAA,Trane
PTEC0702GAA,Trane
AZ28E07EABM2,General Electric
PTED0902GCA,Trane
AZ41E15EAB,General Electric
EZ12A9GSP1A44AB,Islandaire
AZ61H12EAB,General Electric
PTH093G25AXXX,Amana
EZ15E2CSC1AXXDM,Islandaire
AZ41E07EAB,General Electric
LP093CD3A,LG
PTC073B25AE,Amana
PTC093B25AK,Amana
52CEC309351AA,Carrier
AZ38H09EABM2,General Electric
AZ31H12E4CV3,General Electric
52CEC312301AA,Carrier
AZ28E12DAB,General Electric
EZ09A7CSC1A14AA,Islandaire
PBC093E00BX,Amana
Unknown,Arcoaire
PTH093A50AC,Amana
PTC093B50AM,Amana
PDH15K5SF,Friedrich
AH093A35MA,Amana
AH093E35AX,Amana
AJES12DCA,General Electric
AZ32H15D3CM1,General Electric
Unknown,Zenith
AZ25E12D3PM1,General Electric
PTH093B25AE,Amana
PTC093B35AE,Amana
PTC093B35AJ,Amana
PTC093B35AM,Amana
PTC093B35AMBP,Amana
PTC093B35AMP,Amana
LW1210HR,LG
PBC092E00BB,Amana
PTC153G25AXXX,Amana
RAK5207,General Electric
PTH07325JR,Amana
80110A-LOAGGA-OOB,ClimateMaster
AJM10AFV2,General Electric
52ARB312301AA,Carrier
Unknowns,Amana
CP08G10,Friedrich
PTH09325JR,Amana
PTH093B25AJ,Amana
PTH093A25AC,Amana
PT4157325JR,Amana
PTH08325JR,Amana
CP06G10,Friedrich
PTH093E50AXXX,Amana
PTH123G35AXXXAA,Goodman
AJEQ08ACD,General Electric
US10D10,Friedrich
WE13C33,Friedrich
LT101CNR,LG
PTC123E35A,Amana
PTC123E35AXXX,Amana
52CE-312---3,Carrier
AE093E35AX,Amana
52FE310-3-E,Carrier
EZ2609B5Y1S44AA,Islandaire
52ME-U15---3,Carrier
PTC124C35AMBP,Amana
AZ21E09D3CV3,General Electric
AZ21E09D3CV1,General Electric
PTC093B25AJ,Amana
PTH124B35AM,Amana
PTH123B35AM,Amana
PTH123D35AR,Amana
AZ22E09D3BM1,General Electric
AZ28E07DAB,General Electric
AZ58H09EACM1,General Electric
PBH113E35BB,Amana
AJCQ10ACE,General Electric
LP096HD3A,LG
FRP90PTT2R,Frigidaire
PTC093G25AXXXAA,Amana
PTC153E35A,Amana
52CE-315---3,Carrier
PTC093G00HXXXAB,Amana
PTC093B35AK,Amana
AZ41E09DABW4,General Electric
PTC093G35AXXXAB,Amana
PTC123B50AM,Amana
PTH074G25AXXX,Amana
PDE07K3SF,Friedrich
UE10D33,Friedrich
AZ25E12D3BM1,General Electric
PTH123C25AMBP,Amana
PMES1012EZ2AR14CIAI,McQuay
ZPMES1012JZ40A12AR14CIB1,McQuay
MEA012A334,McQuay
PDE09K3SD,Friedrich
AZ28E09DABM1,General Electric
LSU240CE,LG
PTC133D35AR,Amana
PTHC0701GCA,Trane
PTHC0901GCA,Trane
PTHC0901ECA,Trane
52SQC512301AA,Carrier
PTC073A35AB,Amana
EZ09H2RMB1A10AT,Islandaire
PTH093G50AXXX,Amana
PTC09335E,Amana
AZ31H09D5CV4,General Electric
AZ28E09DABM3,General Electric
AZ39H09DABM1,General Electric
AZ29E09DABM1,General Electric
PDH07R3SF,Friedrich
EZ09A2CMF4A14AA,Islandaire
ME09A3PA235,Amana
PTC073E25AXXX,Amana
PTC153B50AE,Amana
PTC153B50AJ,Amana
PTC153E50A,Amana
PTC153E50AXXX,Amana
AJCQ08ACE,General Electric
EZ12A2EDF6A10XA,Islandaire
EZ12A3EDD1A44AA,Islandaire
LT081CER,LG
PTC153E35AXXX,Amana
AZ61H12DABW1,General Electric
PTH124E35A,Amana
52CQ-312---4,Carrier
PDH12R3SF,Friedrich
UE12D33,Friedrich
AJCQ12DCE,General Electric
AJES10DCCM3,General Electric
PTC094A35AB,Amana
AZ58H12DACM1,General Electric
EZ12A2EDC1A14AA,Islandaire
CP10G10,Friedrich
AZ61H09EAC,General Electric
PTH094G35AXXX,Amana
PTH094E35AXXXAC,Amana
PTH094E35AXXXAB,Amana
FAA055P7A8,Frigidaire
FAZ12HS2A,Frigidaire
AZ28E09D5BM1,General Electric
CP12G10,Friedrich
US14D30,Friedrich
AZ25E12E3BM1,General Electric
AZ61H12EABW2,General Electric
Unknown,Retroaire
AJEQ10DCD,General Electric
AJES12DCB,General Electric
AJES09DCA,General Electric
Unknown,Nailor
PDE12K3SB-A,Friedrich
PE12K3SB-3,Friedrich
PE12K3SA-1,Friedrich
LT103CER,LG
Unknown,Eubank
AZ35H09D2BM1,General Electric
PTH124G35AXXX,Amana
EZ2612B2C1S44AA,Islandaire
PBH092E12BB,Amana
EZ09D7RMB1A10AT,Islandaire
52CE-309---3,Carrier
AAW-05CR1FHU,Admiral
PNES1012C162Z12AR14C1A1,McQuay
EZ12A2EDC1A44AA,Islandaire
PTH123A50AC,Amana
PTC093E35AXXXAB,Amana
PTC093E35AXXXAC,Amana
AZ22E09D5BM2,General Electric
PTEC1201GAA,Trane
PTC133D35ARDA,Amana
52CEB315331AA,Carrier
LP120CED,LG
A6Y12F7,Fedders
PTH094D25AR,Amana
PTH074B25AM,Amana
PTH074A25AB,Amana
AZ39H07DABM1,General Electric
PTC123E35AXXAB,Amana
AZ38H09ABM2,General Electric
PTH123A35AA,Amana
PTH093A35AC,Amana
PTH093B35AE,Amana
PTH153A35AA,Amana
DL3,Suburban
DL2-0912EETA,Suburban
DLII-0912E,Suburban
DL3-1220,Suburban
DLII-1220,Suburban
52SEE314401AA,Carrier
PTH053A35AD,Amana
PTH073E25AXXXAB,Amana
PTH123C35AMBP,Amana
PTH153E25AXXX,Amana
52SEE307401RC,Carrier
PTC093D35ARDC,Amana
PTH135A35AB,Amana
PTH123E25AXXXAB,Amana
PTH153B35AA,Amana
PDH07K3SF,Friedrich
AZ28E12EABM1,General Electric
PTH153A35AD,Amana
Unknown,Comfort Aire
